precision,recall,time_taken
9.897019267082214355e-01,9.954991936683654785e-01,3.571021556854248047e-01
9.863601922988891602e-01,5.863459110260009766e-01,1.455097198486328125e-01
9.957167506217956543e-01,6.426504254341125488e-01,1.369740962982177734e-01
9.378962516784667969e-01,6.453499794006347656e-01,9.552621841430664062e-02
9.522661566734313965e-01,7.280211448669433594e-01,9.951996803283691406e-02
9.907081127166748047e-01,9.944253563880920410e-01,1.135275363922119141e-01
9.942283034324645996e-01,9.392715692520141602e-01,1.225233078002929688e-01
2.554124295711517334e-01,2.566769719123840332e-01,9.552216529846191406e-02
9.860206246376037598e-01,7.071968913078308105e-01,9.752297401428222656e-02
9.944306612014770508e-01,9.949173331260681152e-01,1.035184860229492188e-01
9.373922944068908691e-01,6.950595974922180176e-01,8.851361274719238281e-02
1.473873108625411987e-01,1.000000000000000000e+00,8.652138710021972656e-02
9.821183085441589355e-01,9.863435626029968262e-01,1.035182476043701172e-01
9.959797263145446777e-01,9.966569542884826660e-01,8.951425552368164062e-02
9.884448051452636719e-01,7.113159298896789551e-01,8.652257919311523438e-02
9.864601492881774902e-01,9.930309653282165527e-01,1.011099815368652344e-01
9.565400481224060059e-01,9.985365271568298340e-01,9.604740142822265625e-02
9.585468173027038574e-01,9.855311512947082520e-01,9.552097320556640625e-02
4.949949383735656738e-01,9.902627468109130859e-01,6.199502944946289062e-02
9.644992947578430176e-01,9.876945614814758301e-01,7.313323020935058594e-02
9.649219512939453125e-01,9.395810961723327637e-01,6.053352355957031250e-02
8.165081739425659180e-01,9.949197769165039062e-01,6.352329254150390625e-02
9.873619675636291504e-01,9.934369921684265137e-01,6.611156463623046875e-02
9.898825883865356445e-01,9.424326419830322266e-01,7.200884819030761719e-02
9.497432708740234375e-01,7.095751166343688965e-01,8.000564575195312500e-02
9.698742628097534180e-01,9.919689297676086426e-01,6.599712371826171875e-02
9.763294458389282227e-01,5.959970951080322266e-01,6.551980972290039062e-02
8.343561887741088867e-01,9.928925633430480957e-01,6.052494049072265625e-02
9.871818423271179199e-01,9.960318803787231445e-01,5.551838874816894531e-02
9.733296036720275879e-01,8.973658680915832520e-01,5.999875068664550781e-02
9.757627248764038086e-01,9.969167113304138184e-01,5.751514434814453125e-02
9.637033343315124512e-01,8.966229557991027832e-01,5.652880668640136719e-02
9.639095664024353027e-01,5.297931432723999023e-01,5.850958824157714844e-02
9.734307527542114258e-01,8.803895711898803711e-01,6.300258636474609375e-02
6.951709389686584473e-01,9.874945282936096191e-01,5.602717399597167969e-02
9.929910898208618164e-01,9.896045327186584473e-01,5.720996856689453125e-02
9.795477986335754395e-01,9.980556368827819824e-01,5.499362945556640625e-02
9.433058500289916992e-01,9.621175527572631836e-01,5.899691581726074219e-02
9.510850906372070312e-01,8.601941466331481934e-01,6.603264808654785156e-02
9.057834148406982422e-01,9.966012239456176758e-01,5.951905250549316406e-02
9.869527220726013184e-01,9.889518022537231445e-01,5.752038955688476562e-02
9.286780953407287598e-01,9.975942373275756836e-01,6.300044059753417969e-02
9.865016341209411621e-01,6.852276325225830078e-01,6.099581718444824219e-02
9.815591573715209961e-01,9.941762685775756836e-01,6.154489517211914062e-02
9.805173277854919434e-01,7.150425314903259277e-01,6.052637100219726562e-02
9.863713979721069336e-01,9.968216419219970703e-01,6.400394439697265625e-02
9.763371944427490234e-01,8.261119127273559570e-01,5.999445915222167969e-02
9.602392911911010742e-01,8.735595345497131348e-01,6.451869010925292969e-02
9.887403845787048340e-01,6.423485875129699707e-01,6.453824043273925781e-02
9.769967794418334961e-01,5.699641108512878418e-01,6.052207946777343750e-02
9.967768788337707520e-01,9.563410282135009766e-01,6.300163269042968750e-02
9.758116602897644043e-01,9.882720708847045898e-01,6.399607658386230469e-02
9.704622626304626465e-01,5.645537972450256348e-01,6.352996826171875000e-02
9.394146800041198730e-01,8.275903463363647461e-01,6.252741813659667969e-02
9.856869578361511230e-01,7.124332785606384277e-01,6.151223182678222656e-02
9.944693446159362793e-01,9.496402740478515625e-01,6.400656700134277344e-02
9.819298982620239258e-01,9.927293062210083008e-01,6.599760055541992188e-02
9.358126521110534668e-01,6.024652123451232910e-01,6.251931190490722656e-02
9.904230833053588867e-01,9.934944510459899902e-01,6.253027915954589844e-02
9.718178510665893555e-01,8.546264767646789551e-01,6.151652336120605469e-02
9.093691706657409668e-01,6.661328077316284180e-01,6.300187110900878906e-02
9.809574484825134277e-01,9.825199246406555176e-01,6.400775909423828125e-02
