image_path,precision,recall
OriginalImages\10066\20130101_084634.jpg,0.9996409251641206,0.8388366685225821
OriginalImages\10066\20130101_091628.jpg,0.9993650644342018,0.8351030033078963
OriginalImages\10066\20130101_114638.jpg,0.9990562048865936,0.8667278027052697
OriginalImages\10066\20130101_125725.jpg,0.9996277989518818,0.8796122228408607
OriginalImages\10066\20130101_154632.jpg,0.9933292378853034,0.9002849376084892
OriginalImages\10066\20130102_092726.jpg,0.9019387302057126,0.9980021615956506
OriginalImages\10066\20130102_121637.jpg,0.957560748720914,0.997910457537746
OriginalImages\10066\20130102_122724.jpg,0.9631181414747656,0.9922706579766156
OriginalImages\10066\20130102_124633.jpg,0.979903118104563,0.9977598008711884
OriginalImages\10066\20130102_132725.jpg,0.997227375182016,0.9824255723315756
OriginalImages\10066\20130103_114630.jpg,0.9980989956958392,0.3645498313300364
OriginalImages\10066\20130103_131639.jpg,0.9994436189196708,0.9648511446631514
OriginalImages\10066\20130103_144631.jpg,0.9996315610475004,0.462070546621688
OriginalImages\10066\20130103_145734.jpg,0.9814166225028228,0.5579864409000098
OriginalImages\10066\20130103_151641.jpg,0.9989652535128892,0.8726820161792159
OriginalImages\10066\20130104_061642.jpg,0.9996341510378556,0.6801165951593358
OriginalImages\10066\20130104_075729.jpg,0.9998637308229524,0.5767464710313431
OriginalImages\10066\20130104_111637.jpg,0.999152264493478,0.8183473618707627
OriginalImages\10066\20130104_144635.jpg,0.9996427108659468,0.751396849310582
OriginalImages\10066\20130104_152728.jpg,0.9996002347557604,0.7698031637899977
OriginalImages\10066\20130105_081628.jpg,0.9850675246986312,0.5695215013264336
OriginalImages\10066\20130105_092727.jpg,0.9980009249451748,0.8763894802345004
OriginalImages\10066\20130105_112733.jpg,0.999164099976655,0.8690924573412373
OriginalImages\10066\20130105_122724.jpg,0.9988624244578742,0.9202502210722824
OriginalImages\10066\20130105_142724.jpg,0.9996721526457282,0.7989257524645466
OriginalImages\10066\20130106_071638.jpg,0.9993771874598047,0.9669865391543576
OriginalImages\10066\20130106_085727.jpg,0.997452202177338,0.9206235875937512
OriginalImages\10066\20130106_105723.jpg,0.9991214430646296,0.9385975829430452
OriginalImages\10066\20130106_135724.jpg,0.9993853765137948,0.8627190253168703
OriginalImages\10066\20130107_082723.jpg,0.9982920997413752,0.4020174892739003
OriginalImages\10066\20130107_095724.jpg,0.9945607607411808,0.8659483182130809
OriginalImages\10066\20130107_101639.jpg,0.998785966596934,0.9538401074247536
OriginalImages\10066\20130107_122728.jpg,0.9995245779792556,0.9777617659581436
OriginalImages\10066\20130107_141629.jpg,0.999588054944016,0.9695542527756852
OriginalImages\10066\20130108_114635.jpg,0.999508371343512,0.958831428290702
OriginalImages\10066\20130108_115731.jpg,0.9997027087288772,0.9691743359643664
OriginalImages\10066\20130108_141633.jpg,0.999689880263526,0.8657256083581698
OriginalImages\10066\20130108_145731.jpg,0.9989822688619504,0.8679985589362329
OriginalImages\10066\20130108_152726.jpg,0.9995037478150092,0.8839288638522255
OriginalImages\10066\20130109_064638.jpg,0.9993028879319736,0.9014181377525956
OriginalImages\10066\20130109_081633.jpg,0.9985012079816268,0.8771296629875872
OriginalImages\10066\20130109_115734.jpg,0.989757895917008,0.9830412995775064
OriginalImages\10066\20130109_122726.jpg,0.989738861263872,0.9843579078374218
OriginalImages\10066\20130109_125727.jpg,0.9877446808510638,0.9882946320374676
OriginalImages\10066\20130110_081633.jpg,0.5191209150772335,0.9976615465234336
OriginalImages\10066\20130110_084639.jpg,0.5391095960722263,0.9976025939147808
OriginalImages\10066\20130110_111634.jpg,0.5219098255915533,0.997910457537746
OriginalImages\10066\20130110_124634.jpg,0.8901567185554535,0.9974781384076246
OriginalImages\10066\20130110_131630.jpg,0.8904545881910493,0.9925916221792814
OriginalImages\10066\20130111_065742.jpg,0.999715820077676,0.8986866668850096
OriginalImages\10066\20130111_081636.jpg,0.9787423373541624,0.5187305538270068
OriginalImages\10066\20130111_115726.jpg,0.999513930144818,0.8485769495300167
OriginalImages\10066\20130111_134632.jpg,0.9998658845619012,0.9278485572986604
OriginalImages\10066\20130111_151634.jpg,0.9994495502337668,0.9395735761307438
OriginalImages\10066\20130112_085734.jpg,0.9988504673568652,0.9106671470212556
OriginalImages\10066\20130112_091630.jpg,0.9977082007060594,0.5646153342285396
