precision,recall,time_taken
9.924464821815490723e-01,9.957308769226074219e-01,3.125638961791992188e-01
9.979555010795593262e-01,7.653093338012695312e-01,1.492555141448974609e-01
9.996017813682556152e-01,7.589305043220520020e-01,1.375288963317871094e-01
9.431044459342956543e-01,9.614316821098327637e-01,9.152531623840332031e-02
9.783038496971130371e-01,9.114087224006652832e-01,1.023888587951660156e-01
9.912461638450622559e-01,9.954259395599365234e-01,8.700466156005859375e-02
9.950727820396423340e-01,9.414776563644409180e-01,8.752202987670898438e-02
2.583948075771331787e-01,2.624909281730651855e-01,8.651781082153320312e-02
9.970441460609436035e-01,8.311666250228881836e-01,8.150863647460937500e-02
9.937626719474792480e-01,9.957456588745117188e-01,8.151555061340332031e-02
9.352272748947143555e-01,9.639054536819458008e-01,8.000516891479492188e-02
1.498411595821380615e-01,1.000000000000000000e+00,8.100795745849609375e-02
9.907671809196472168e-01,9.868566393852233887e-01,6.707358360290527344e-02
9.964342117309570312e-01,9.975352287292480469e-01,5.607557296752929688e-02
9.982351064682006836e-01,8.485212326049804688e-01,5.600357055664062500e-02
9.906112551689147949e-01,9.953026175498962402e-01,5.499958992004394531e-02
9.697343111038208008e-01,9.987804293632507324e-01,5.551433563232421875e-02
9.267988204956054688e-01,9.926083087921142578e-01,6.252002716064453125e-02
6.043507456779479980e-01,9.927429556846618652e-01,5.900120735168457031e-02
9.666210412979125977e-01,9.925830364227294922e-01,6.151390075683593750e-02
9.723178148269653320e-01,9.865735769271850586e-01,6.051802635192871094e-02
8.513275980949401855e-01,9.956047534942626953e-01,5.906629562377929688e-02
9.917487502098083496e-01,9.950031638145446777e-01,6.200432777404785156e-02
9.858069419860839844e-01,9.530646800994873047e-01,6.200313568115234375e-02
9.581780433654785156e-01,9.481410384178161621e-01,5.651545524597167969e-02
9.656490683555603027e-01,9.945409893989562988e-01,6.206035614013671875e-02
9.950172305107116699e-01,7.896021604537963867e-01,7.152009010314941406e-02
8.719927072525024414e-01,9.949791431427001953e-01,8.453893661499023438e-02
9.889857172966003418e-01,9.963258504867553711e-01,6.456160545349121094e-02
9.841625690460205078e-01,9.738130569458007812e-01,6.000733375549316406e-02
9.872407317161560059e-01,9.952787160873413086e-01,5.601000785827636719e-02
9.842467308044433594e-01,9.667842984199523926e-01,5.447483062744140625e-02
9.680343270301818848e-01,9.232788085937500000e-01,8.252310752868652344e-02
9.839064478874206543e-01,9.843879938125610352e-01,8.730983734130859375e-02
7.946868538856506348e-01,9.910048246383666992e-01,1.070590019226074219e-01
9.959186315536499023e-01,9.922607541084289551e-01,7.952356338500976562e-02
9.888963103294372559e-01,9.975906610488891602e-01,8.051609992980957031e-02
9.629053473472595215e-01,9.916706681251525879e-01,8.353328704833984375e-02
9.726864695549011230e-01,9.774337410926818848e-01,7.652163505554199219e-02
9.144653081893920898e-01,9.979229569435119629e-01,5.552268028259277344e-02
9.868426918983459473e-01,9.909312725067138672e-01,5.600714683532714844e-02
9.402151703834533691e-01,9.972857832908630371e-01,8.150744438171386719e-02
9.979404807090759277e-01,8.332378268241882324e-01,7.451438903808593750e-02
9.765287041664123535e-01,9.953830242156982422e-01,7.950043678283691406e-02
9.971441030502319336e-01,8.267779946327209473e-01,7.551765441894531250e-02
9.907614588737487793e-01,9.977155327796936035e-01,8.707046508789062500e-02
9.905644655227661133e-01,9.305490255355834961e-01,8.001732826232910156e-02
9.861828088760375977e-01,9.693616032600402832e-01,6.252717971801757812e-02
9.975294470787048340e-01,8.213112354278564453e-01,5.600953102111816406e-02
9.864406585693359375e-01,7.593308687210083008e-01,6.100225448608398438e-02
9.968597292900085449e-01,9.711046218872070312e-01,5.707144737243652344e-02
9.698937535285949707e-01,9.904642105102539062e-01,5.741548538208007812e-02
9.898977279663085938e-01,8.037169575691223145e-01,5.400109291076660156e-02
9.589539170265197754e-01,9.851807355880737305e-01,5.151295661926269531e-02
9.978709816932678223e-01,8.043954968452453613e-01,5.452394485473632812e-02
9.959075450897216797e-01,9.512621164321899414e-01,5.400037765502929688e-02
9.811629056930541992e-01,9.947080016136169434e-01,5.600094795227050781e-02
9.542559981346130371e-01,9.434246420860290527e-01,5.440998077392578125e-02
9.919392466545104980e-01,9.955168962478637695e-01,5.300736427307128906e-02
9.786956310272216797e-01,9.597521424293518066e-01,5.599808692932128906e-02
9.386450052261352539e-01,9.519500136375427246e-01,6.209278106689453125e-02
9.874093532562255859e-01,9.897080063819885254e-01,5.651783943176269531e-02
