precision,recall,time_taken
9.884106516838073730e-01,9.963265657424926758e-01,3.605372905731201172e-01
9.951599836349487305e-01,7.552748322486877441e-01,1.442141532897949219e-01
9.991976022720336914e-01,7.530560493469238281e-01,1.325802803039550781e-01
9.351833462715148926e-01,9.255403280258178711e-01,9.652233123779296875e-02
9.673092365264892578e-01,8.816735148429870605e-01,9.911775588989257812e-02
9.892022609710693359e-01,9.952115416526794434e-01,8.852648735046386719e-02
9.937574267387390137e-01,9.408949017524719238e-01,8.552050590515136719e-02
2.583798170089721680e-01,2.629451453685760498e-01,8.251810073852539062e-02
9.949525594711303711e-01,8.290848731994628906e-01,8.251523971557617188e-02
9.940972924232482910e-01,9.954820871353149414e-01,8.351778984069824219e-02
9.258670210838317871e-01,9.295144677162170410e-01,8.152890205383300781e-02
1.435253024101257324e-01,1.000000000000000000e+00,8.153009414672851562e-02
9.836432933807373047e-01,9.874092340469360352e-01,2.675580978393554688e-01
9.945486187934875488e-01,9.975635409355163574e-01,5.450844764709472656e-02
9.959560036659240723e-01,8.339477181434631348e-01,5.607199668884277344e-02
9.868255257606506348e-01,9.949945807456970215e-01,5.500125885009765625e-02
9.628427624702453613e-01,9.986340999603271484e-01,5.450415611267089844e-02
9.135981202125549316e-01,9.911142587661743164e-01,5.552053451538085938e-02
5.862293839454650879e-01,9.917324781417846680e-01,5.501008033752441406e-02
9.549067020416259766e-01,9.923582673072814941e-01,5.900335311889648438e-02
9.624262452125549316e-01,9.808270931243896484e-01,5.451130867004394531e-02
8.292775750160217285e-01,9.959472417831420898e-01,5.508089065551757812e-02
9.877489209175109863e-01,9.951523542404174805e-01,5.399990081787109375e-02
9.814754128456115723e-01,9.484755992889404297e-01,5.652332305908203125e-02
9.527946710586547852e-01,9.142077565193176270e-01,5.653429031372070312e-02
9.582932591438293457e-01,9.938061237335205078e-01,5.605340003967285156e-02
9.918351769447326660e-01,7.709055542945861816e-01,5.800223350524902344e-02
8.490282297134399414e-01,9.941314458847045898e-01,6.351447105407714844e-02
9.836826324462890625e-01,9.967299699783325195e-01,5.853557586669921875e-02
9.754030108451843262e-01,9.669055342674255371e-01,6.753110885620117188e-02
9.820020794868469238e-01,9.962422251701354980e-01,6.852579116821289062e-02
9.756022691726684570e-01,9.593750238418579102e-01,6.701350212097167969e-02
9.621837735176086426e-01,8.719512224197387695e-01,6.900119781494140625e-02
9.793106913566589355e-01,9.706357121467590332e-01,7.126927375793457031e-02
7.536054253578186035e-01,9.897615909576416016e-01,9.409046173095703125e-02
9.921975135803222656e-01,9.924903512001037598e-01,1.275365352630615234e-01
9.827622175216674805e-01,9.976751804351806641e-01,1.445791721343994141e-01
9.479399323463439941e-01,9.858241081237792969e-01,1.035196781158447266e-01
9.634197354316711426e-01,9.675151109695434570e-01,9.531664848327636719e-02
9.028015136718750000e-01,9.979229569435119629e-01,8.928298950195312500e-02
9.825634360313415527e-01,9.909312725067138672e-01,8.707189559936523438e-02
9.085389971733093262e-01,9.969773888587951660e-01,8.913111686706542969e-02
9.947383999824523926e-01,8.282427191734313965e-01,8.403468132019042969e-02
9.721125960350036621e-01,9.949108362197875977e-01,8.111906051635742188e-02
9.940087795257568359e-01,8.190319538116455078e-01,8.217692375183105469e-02
9.851984977722167969e-01,9.982783794403076172e-01,7.901406288146972656e-02
9.858567714691162109e-01,9.122477769851684570e-01,6.699466705322265625e-02
9.759731888771057129e-01,9.584781527519226074e-01,5.353212356567382812e-02
9.951500892639160156e-01,8.106712698936462402e-01,4.951858520507812500e-02
9.818795919418334961e-01,7.448394894599914551e-01,5.400347709655761719e-02
9.957804679870605469e-01,9.730331897735595703e-01,5.351996421813964844e-02
9.628010988235473633e-01,9.900805354118347168e-01,5.306148529052734375e-02
9.849305152893066406e-01,7.837823629379272461e-01,5.300426483154296875e-02
9.497424960136413574e-01,9.665060043334960938e-01,5.300068855285644531e-02
9.962735176086425781e-01,8.029652833938598633e-01,6.254315376281738281e-02
9.936549067497253418e-01,9.508046507835388184e-01,5.851840972900390625e-02
9.757088422775268555e-01,9.944319128990173340e-01,6.200575828552246094e-02
9.435001611709594727e-01,8.958942890167236328e-01,5.599975585937500000e-02
9.890710115432739258e-01,9.944719672203063965e-01,5.253124237060546875e-02
9.704542756080627441e-01,9.385017156600952148e-01,5.908083915710449219e-02
9.257758855819702148e-01,9.149515628814697266e-01,5.499696731567382812e-02
9.798057675361633301e-01,9.888094663619995117e-01,5.409288406372070312e-02
