precision,recall,time_taken
9.107856750488281250e-01,9.995610713958740234e-01,1.960458755493164062e-01
7.838609814643859863e-01,9.997550845146179199e-01,6.303596496582031250e-02
6.754603385925292969e-01,9.998604059219360352e-01,6.500387191772460938e-02
9.880911707878112793e-01,9.812317490577697754e-01,6.699967384338378906e-02
7.340194582939147949e-01,1.000000000000000000e+00,6.251764297485351562e-02
7.582016587257385254e-01,9.999322295188903809e-01,6.026315689086914062e-02
7.732911109924316406e-01,9.976947903633117676e-01,6.415104866027832031e-02
9.873530864715576172e-01,9.983199238777160645e-01,6.606602668762207031e-02
8.256472945213317871e-01,9.999516606330871582e-01,5.999994277954101562e-02
7.810724973678588867e-01,9.798494577407836914e-01,5.851507186889648438e-02
9.483345746994018555e-01,9.726881384849548340e-01,6.551909446716308594e-02
4.765154421329498291e-01,1.000000000000000000e+00,5.951642990112304688e-02
9.511844515800476074e-01,9.995228052139282227e-01,6.252288818359375000e-02
7.832323908805847168e-01,9.992642402648925781e-01,6.099820137023925781e-02
9.453521966934204102e-01,9.999176859855651855e-01,5.799865722656250000e-02
9.815226793289184570e-01,9.998360872268676758e-01,5.852103233337402344e-02
7.847527265548706055e-01,1.000000000000000000e+00,5.351948738098144531e-02
4.906500875949859619e-01,9.998559355735778809e-01,5.900311470031738281e-02
9.324389100074768066e-01,1.000000000000000000e+00,6.299901008605957031e-02
7.957757115364074707e-01,9.825525879859924316e-01,5.251193046569824219e-02
7.546457648277282715e-01,9.872886538505554199e-01,5.351352691650390625e-02
9.928060173988342285e-01,9.998344779014587402e-01,5.700206756591796875e-02
9.106618165969848633e-01,9.998729825019836426e-01,5.400514602661132812e-02
9.733939170837402344e-01,9.992168545722961426e-01,5.252265930175781250e-02
9.700837135314941406e-01,9.999560713768005371e-01,5.500531196594238281e-02
9.920796155929565430e-01,9.995566606521606445e-01,6.299901008605957031e-02
9.579599499702453613e-01,1.000000000000000000e+00,5.499935150146484375e-02
9.382440447807312012e-01,9.857863783836364746e-01,5.715799331665039062e-02
8.396658897399902344e-01,9.788665175437927246e-01,5.251717567443847656e-02
9.815109968185424805e-01,1.000000000000000000e+00,5.399966239929199219e-02
