image_path,precision,recall
OriginalImages\10066\20130101_084634.jpg,0.7497265982916088,0.9969082631906462
OriginalImages\10066\20130101_091628.jpg,0.527274184667071,0.9910261029050536
OriginalImages\10066\20130101_114638.jpg,0.996769368830392,0.982209412766515
OriginalImages\10066\20130101_125725.jpg,0.5486801502227056,0.9981331673926572
OriginalImages\10066\20130101_154632.jpg,0.994800767099936,0.9174204958569416
OriginalImages\10066\20130102_092726.jpg,0.8895896106322846,0.9978973569580454
OriginalImages\10066\20130102_121637.jpg,0.951014905250543,0.998028362755052
OriginalImages\10066\20130102_122724.jpg,0.9518914935867814,0.9984868830445748
OriginalImages\10066\20130102_124633.jpg,0.9644072944481706,0.9983493269577178
OriginalImages\10066\20130102_132725.jpg,0.973855916482223,0.9972095765237612
OriginalImages\10066\20130103_114630.jpg,0.9980400696864112,0.3902597189925654
OriginalImages\10066\20130103_131639.jpg,0.998477970450029,0.9840369436347558
OriginalImages\10066\20130103_144631.jpg,0.5276045037804158,0.9717682507450954
OriginalImages\10066\20130103_145734.jpg,0.970864294094642,0.8455769167785675
OriginalImages\10066\20130103_151641.jpg,0.9900100954781496,0.9827989388530444
OriginalImages\10066\20130104_061642.jpg,0.9972974749651228,0.8943700258736449
OriginalImages\10066\20130104_075729.jpg,0.9955736049334968,0.9104837389054464
OriginalImages\10066\20130104_111637.jpg,0.9970353086504478,0.9516457603248945
OriginalImages\10066\20130104_144635.jpg,0.9974095647927298,0.9230864965774735
OriginalImages\10066\20130104_152728.jpg,0.9989894514275942,0.8417973995349294
OriginalImages\10066\20130105_081628.jpg,0.977774678938072,0.9645105295909344
OriginalImages\10066\20130105_092727.jpg,0.9842649820727336,0.9440343235188156
OriginalImages\10066\20130105_112733.jpg,0.9955547819566992,0.9740936036419612
OriginalImages\10066\20130105_122724.jpg,0.9930265456163536,0.9794058887105754
OriginalImages\10066\20130105_142724.jpg,0.9986687070675184,0.9532571316280746
OriginalImages\10066\20130106_071638.jpg,0.9983342217484008,0.9814299282743262
OriginalImages\10066\20130106_085727.jpg,0.997375592337535,0.9733403203091736
OriginalImages\10066\20130106_105723.jpg,0.9975433382862804,0.9894409327612746
OriginalImages\10066\20130106_135724.jpg,0.6068566056376181,0.9978580552189434
OriginalImages\10066\20130107_082723.jpg,0.5183735929668885,0.991838338846494
OriginalImages\10066\20130107_095724.jpg,0.9950046338593804,0.9915894278321816
OriginalImages\10066\20130107_101639.jpg,0.997273337987539,0.9918448891363444
OriginalImages\10066\20130107_122728.jpg,0.9981054855105947,0.9904234762388237
OriginalImages\10066\20130107_141629.jpg,0.9983601245776328,0.988982412471752
OriginalImages\10066\20130108_114635.jpg,0.9985161052048436,0.9917335342088888
OriginalImages\10066\20130108_115731.jpg,0.5381837402930961,0.9937248223233878
OriginalImages\10066\20130108_141633.jpg,0.998419280805836,0.9888186552254936
OriginalImages\10066\20130108_145731.jpg,0.999050653920202,0.9857334687059902
OriginalImages\10066\20130108_152726.jpg,0.997957017245178,0.9791045753774604
OriginalImages\10066\20130109_064638.jpg,0.9962079744648298,0.9894802345003766
OriginalImages\10066\20130109_081633.jpg,0.5148720146249253,0.9759145842203516
OriginalImages\10066\20130109_115734.jpg,0.5124813435344422,0.9986244391314316
OriginalImages\10066\20130109_122726.jpg,0.513393706350716,0.9900042576884028
OriginalImages\10066\20130109_125727.jpg,0.5129622550230218,0.9931942488455114
OriginalImages\10066\20130110_081633.jpg,0.5133404086858375,0.9980152621753512
OriginalImages\10066\20130110_084639.jpg,0.5146072805023458,0.9979366586971472
OriginalImages\10066\20130110_111634.jpg,0.513368947932175,0.9983296760881668
OriginalImages\10066\20130110_124634.jpg,0.5165163434151634,0.9978122031899912
OriginalImages\10066\20130110_131630.jpg,0.8890568283943556,0.9979170078275964
OriginalImages\10066\20130111_065742.jpg,0.9964776909002446,0.9524972980054368
OriginalImages\10066\20130111_081636.jpg,0.5086049814549282,0.9781613336390136
OriginalImages\10066\20130111_115726.jpg,0.9988223260070797,0.9722136704549176
OriginalImages\10066\20130111_134632.jpg,0.998824205155928,0.9682048930665182
OriginalImages\10066\20130111_151634.jpg,0.998556699653207,0.9788818655225494
OriginalImages\10066\20130112_085734.jpg,0.9947958261871408,0.9954278976844724
OriginalImages\10066\20130112_091630.jpg,0.9776721387402224,0.9955458029017784
OriginalImages\10066\20130112_112740.jpg,0.9971856421613212,0.9910261029050536
OriginalImages\10066\20130112_134634.jpg,0.9969899313862088,0.9936658697147348
OriginalImages\10066\20130112_145729.jpg,0.995630126575644,0.9954409982641732
OriginalImages\10066\20130113_062730.jpg,0.8882729757928667,0.9982183211607114
OriginalImages\10066\20130113_124634.jpg,0.5796697233743008,0.9978908066681952
OriginalImages\10066\20130113_132732.jpg,0.5648035536834611,0.9977598008711884
OriginalImages\10066\20130113_134629.jpg,0.5653612960200667,0.9980414633347524
OriginalImages\10066\20130113_154632.jpg,0.5865436077516335,0.9978253037696918
OriginalImages\10066\20130114_074630.jpg,0.5318690528153645,0.9977008482625356
OriginalImages\10066\20130114_094639.jpg,0.5450114689158385,0.9976353453640324
OriginalImages\10066\20130114_095726.jpg,0.5400782984276484,0.9976156944944814
OriginalImages\10066\20130114_132728.jpg,0.5826531939143139,0.9978973569580454
OriginalImages\10066\20130114_161636.jpg,0.8896665654843907,0.998310025218616
OriginalImages\10066\20130115_064632.jpg,0.5216917770920312,0.9977532505813382
OriginalImages\10066\20130115_074629.jpg,0.517419530267496,0.9971506239151082
OriginalImages\10066\20130115_114637.jpg,0.5745473345761662,0.9972619788425636
OriginalImages\10066\20130115_115725.jpg,0.5848682542243943,0.9971244227557068
OriginalImages\10066\20130115_125723.jpg,0.5199263794463433,0.9973602331903186
OriginalImages\10066\20130116_075727.jpg,0.5309509282663645,0.9975436413061278
OriginalImages\10066\20130116_084630.jpg,0.5167944889371522,0.9975370910162776
OriginalImages\10066\20130116_094634.jpg,0.6012273815071361,0.9972423279730128
OriginalImages\10066\20130116_095723.jpg,0.5959509384930884,0.9974453869583728
OriginalImages\10066\20130116_122722.jpg,0.5858770106980682,0.9972554285527134
OriginalImages\10066\20130117_082724.jpg,0.56675901514813,0.9969672157992991
OriginalImages\10066\20130117_084633.jpg,0.5597381161567333,0.9973798840598695
OriginalImages\10066\20130117_085726.jpg,0.5533929759381714,0.997144073625258
OriginalImages\10066\20130117_104635.jpg,0.5313757306115328,0.9974715881177744
OriginalImages\10066\20130117_144636.jpg,0.9423327177860126,0.9960894769593556
OriginalImages\10066\20130118_074634.jpg,0.8899069948264003,0.9746045262502866
OriginalImages\10066\20130118_084630.jpg,0.8903243139064261,0.998552385943078
OriginalImages\10066\20130118_085726.jpg,0.8449842809068367,1.0
OriginalImages\10066\20130118_135726.jpg,0.8379583144840066,0.9949235253659976
OriginalImages\10066\20130118_155725.jpg,0.9950470075670718,0.994851472177644
OriginalImages\10066\20130119_062731.jpg,0.9983570686032902,0.8995709560148036
OriginalImages\10066\20130119_071637.jpg,0.9950417425943976,0.9228048341139096
OriginalImages\10066\20130119_081632.jpg,0.9970312751708744,0.8513542724265549
OriginalImages\10066\20130119_084636.jpg,0.5529104003852805,0.992663675367635
OriginalImages\10066\20130119_102732.jpg,0.9971466165969336,0.8835816984901582
OriginalImages\10066\20130120_062727.jpg,0.8885137499125324,0.9980873153637048
OriginalImages\10066\20130120_074633.jpg,0.5960078091072344,0.9978646055087936
OriginalImages\10066\20130120_094628.jpg,0.5598717991127381,0.9977794517407396
OriginalImages\10066\20130120_145730.jpg,0.5707397486091078,0.9978646055087936
OriginalImages\10066\20130120_154635.jpg,0.590935365110893,0.9977794517407396
