image_path,precision,recall
OriginalImages\10066\20130101_084634.jpg,0.9950337045915056,0.9842989552287688
OriginalImages\10066\20130101_091628.jpg,0.9985751101051282,0.9594144040873808
OriginalImages\10066\20130101_114638.jpg,0.9962653142786267,0.9470671077195166
OriginalImages\10066\20130101_125725.jpg,0.9956748059163704,0.9484688697474865
OriginalImages\10066\20130101_154632.jpg,0.9916012759599984,0.9651590082861168
OriginalImages\10066\20130102_092726.jpg,0.9019387302057126,0.9980021615956506
OriginalImages\10066\20130102_121637.jpg,0.9512426389859268,0.9988405986964924
OriginalImages\10066\20130102_122724.jpg,0.9561177175661608,0.9927553794255396
OriginalImages\10066\20130102_124633.jpg,0.9730416246505752,0.998670291160384
OriginalImages\10066\20130102_132725.jpg,0.997227375182016,0.9824255723315756
OriginalImages\10066\20130103_114630.jpg,0.9988135167818925,0.8602168145940458
OriginalImages\10066\20130103_131639.jpg,0.9972502967667514,0.9740084498739068
OriginalImages\10066\20130103_144631.jpg,0.988228390188695,0.9265778010676972
OriginalImages\10066\20130103_145734.jpg,0.9994173024746436,0.3595126584351357
OriginalImages\10066\20130103_151641.jpg,0.987979691900172,0.967477810893132
OriginalImages\10066\20130104_061642.jpg,0.9996341510378556,0.6801165951593358
OriginalImages\10066\20130104_075729.jpg,0.9950369939313326,0.7840238430550552
OriginalImages\10066\20130104_111637.jpg,0.9903421370995148,0.9544623849605344
OriginalImages\10066\20130104_144635.jpg,0.9967877992234854,0.935014574394917
OriginalImages\10066\20130104_152728.jpg,0.9994390539721044,0.8636295156060656
OriginalImages\10066\20130105_081628.jpg,0.985283451169664,0.9520846297448662
OriginalImages\10066\20130105_092727.jpg,0.9975951221173824,0.9591720433629188
OriginalImages\10066\20130105_112733.jpg,0.9924786732183288,0.9274424393279402
OriginalImages\10066\20130105_122724.jpg,0.9969895422595576,0.952320440179478
OriginalImages\10066\20130105_142724.jpg,0.9993155274401446,0.9085121016604985
OriginalImages\10066\20130106_071638.jpg,0.9980310742030538,0.9761634952346642
OriginalImages\10066\20130106_085727.jpg,0.9952903606698154,0.9717617004552452
OriginalImages\10066\20130106_105723.jpg,0.9983722081674457,0.9641961156781188
OriginalImages\10066\20130106_135724.jpg,0.9975466008771928,0.9534732911931352
OriginalImages\10066\20130107_082723.jpg,0.9678081050242946,0.9889627616022008
OriginalImages\10066\20130107_095724.jpg,0.9950475962561156,0.9804932368257296
OriginalImages\10066\20130107_101639.jpg,0.9988109153936072,0.9738774440769004
OriginalImages\10066\20130107_122728.jpg,0.9995245779792556,0.9777617659581436
OriginalImages\10066\20130107_141629.jpg,0.999588054944016,0.9695542527756852
OriginalImages\10066\20130108_114635.jpg,0.9995124692754076,0.966894835096453
OriginalImages\10066\20130108_115731.jpg,0.9997027087288772,0.9691743359643664
OriginalImages\10066\20130108_141633.jpg,0.9995953333013258,0.9546392427864931
OriginalImages\10066\20130108_145731.jpg,0.99633126554259,0.9552615203222744
OriginalImages\10066\20130108_152726.jpg,0.9969532469294972,0.9623751350997282
OriginalImages\10066\20130109_064638.jpg,0.99913827925138,0.972141617266564
OriginalImages\10066\20130109_081633.jpg,0.998481199715396,0.9559886024956604
OriginalImages\10066\20130109_115734.jpg,0.989005901340028,0.9934759113090754
OriginalImages\10066\20130109_122726.jpg,0.9883775411927012,0.9948711230471948
OriginalImages\10066\20130109_125727.jpg,0.987102891134374,0.995657157829234
OriginalImages\10066\20130110_081633.jpg,0.5169933489562873,0.9999934497101496
OriginalImages\10066\20130110_084639.jpg,0.5370908591297731,0.9986375397111322
OriginalImages\10066\20130110_111634.jpg,0.5219098255915533,0.997910457537746
OriginalImages\10066\20130110_124634.jpg,0.8901567185554535,0.9974781384076246
OriginalImages\10066\20130110_131630.jpg,0.8904545881910493,0.9925916221792814
OriginalImages\10066\20130111_065742.jpg,0.9982872289811732,0.9620934726361642
OriginalImages\10066\20130111_081636.jpg,0.9863473545516542,0.9758032292928962
OriginalImages\10066\20130111_115726.jpg,0.9929437370467668,0.9383355713490322
OriginalImages\10066\20130111_134632.jpg,0.991463774729552,0.9677398224871452
OriginalImages\10066\20130111_151634.jpg,0.9955907031096074,0.959879474666754
OriginalImages\10066\20130112_085734.jpg,0.9989396740823212,0.9873710411685716
OriginalImages\10066\20130112_091630.jpg,0.9921301635563012,0.99175973536829
OriginalImages\10066\20130112_112740.jpg,0.9911194797216992,0.972298824222972
OriginalImages\10066\20130112_134634.jpg,0.9989430812211788,0.9719844103101564
OriginalImages\10066\20130112_145729.jpg,0.9989754235585616,0.9771525890020634
OriginalImages\10066\20130113_062730.jpg,,0.0
OriginalImages\10066\20130113_124634.jpg,0.891450985927089,0.992925686961648
OriginalImages\10066\20130113_132732.jpg,0.8898138736022995,0.9976942979726852
OriginalImages\10066\20130113_134629.jpg,0.674842689370138,0.9989519536239478
OriginalImages\10066\20130113_154632.jpg,0.702770757321648,0.9853797530540728
OriginalImages\10066\20130114_074630.jpg,0.6976050506667887,0.9988274981167916
OriginalImages\10066\20130114_094639.jpg,0.6065541100695109,0.9968362100022926
OriginalImages\10066\20130114_095726.jpg,0.6484540737648352,0.9970982215963056
OriginalImages\10066\20130114_132728.jpg,0.7104460203415135,0.9974584875380736
OriginalImages\10066\20130114_161636.jpg,0.8914786762037438,0.9976222447843316
OriginalImages\10066\20130115_064632.jpg,0.6009527227127359,0.998231421740412
OriginalImages\10066\20130115_074629.jpg,0.5213256839280335,0.9975960436249304
OriginalImages\10066\20130115_114637.jpg,0.6744976829742828,0.999174663478859
OriginalImages\10066\20130115_115725.jpg,0.6705063552708519,0.998958503913798
OriginalImages\10066\20130115_125723.jpg,0.6485953944428604,0.9982969246389152
OriginalImages\10066\20130116_075727.jpg,0.7083920671030411,0.9974191857989716
OriginalImages\10066\20130116_084630.jpg,0.6768625048826391,0.9988471489863426
OriginalImages\10066\20130116_094634.jpg,0.7146692782036624,0.9990436576818524
OriginalImages\10066\20130116_095723.jpg,0.7228104265402844,0.9990043559427504
OriginalImages\10066\20130116_122722.jpg,0.7074675219189336,0.998434480725772
OriginalImages\10066\20130117_082724.jpg,0.8223345583260718,0.9952313889889628
OriginalImages\10066\20130117_084633.jpg,0.703662961336692,0.9972226771034618
OriginalImages\10066\20130117_085726.jpg,0.6790132823936873,0.996541446959028
OriginalImages\10066\20130117_104635.jpg,0.8888577500642239,0.9972161268136116
OriginalImages\10066\20130117_144636.jpg,0.9959106615867996,0.957148003799168
OriginalImages\10066\20130118_074634.jpg,0.9242927471272218,0.9752464546556184
OriginalImages\10066\20130118_084630.jpg,0.8919219624805887,0.9819408508826516
OriginalImages\10066\20130118_085726.jpg,0.9615945614249272,0.980263976680968
OriginalImages\10066\20130118_135726.jpg,0.9948660996322478,0.9799299118986016
