image_path,precision,recall
OriginalImages\10066\20130101_084634.jpg,0.9950337045915056,0.9842989552287688
OriginalImages\10066\20130101_091628.jpg,0.9985651123194376,0.9527200078603478
OriginalImages\10066\20130101_114638.jpg,0.9956690910590792,0.9487177807617988
OriginalImages\10066\20130101_125725.jpg,0.995623678058555,0.9373399272917826
OriginalImages\10066\20130101_154632.jpg,0.9916012759599984,0.9651590082861168
OriginalImages\10066\20130102_092726.jpg,0.9019387302057126,0.9980021615956506
OriginalImages\10066\20130102_121637.jpg,0.957560748720914,0.997910457537746
OriginalImages\10066\20130102_122724.jpg,0.9631181414747656,0.9922706579766156
OriginalImages\10066\20130102_124633.jpg,0.979903118104563,0.9977598008711884
OriginalImages\10066\20130102_132725.jpg,0.997227375182016,0.9824255723315756
OriginalImages\10066\20130103_114630.jpg,0.9961976648856472,0.9232895555628337
OriginalImages\10066\20130103_131639.jpg,0.9972502967667514,0.9740084498739068
OriginalImages\10066\20130103_144631.jpg,0.9833872829570314,0.7979759604362493
OriginalImages\10066\20130103_145734.jpg,0.9814166225028228,0.5579864409000098
OriginalImages\10066\20130103_151641.jpg,0.987979691900172,0.967477810893132
OriginalImages\10066\20130104_061642.jpg,0.9995219540354296,0.7258703697638621
OriginalImages\10066\20130104_075729.jpg,0.9939597746696084,0.911898601513117
OriginalImages\10066\20130104_111637.jpg,0.9903421370995148,0.9544623849605344
OriginalImages\10066\20130104_144635.jpg,0.9912310355085594,0.9603445452461272
OriginalImages\10066\20130104_152728.jpg,0.9958838455032422,0.9255297546916452
OriginalImages\10066\20130105_081628.jpg,0.9831955606182528,0.6162578194085089
OriginalImages\10066\20130105_092727.jpg,0.99754335662389,0.9389119968558608
OriginalImages\10066\20130105_112733.jpg,0.9958997658013744,0.9275472439655454
OriginalImages\10066\20130105_122724.jpg,0.9969734156968728,0.9472308649657748
OriginalImages\10066\20130105_142724.jpg,0.9944781658631334,0.9390430026528674
OriginalImages\10066\20130106_071638.jpg,0.9980310742030538,0.9761634952346642
OriginalImages\10066\20130106_085727.jpg,0.9951440864380284,0.942350899027282
OriginalImages\10066\20130106_105723.jpg,0.9983722081674457,0.9641961156781188
OriginalImages\10066\20130106_135724.jpg,0.9975146655559026,0.9411914977237744
OriginalImages\10066\20130107_082723.jpg,0.9611148754563568,0.6225133462155701
OriginalImages\10066\20130107_095724.jpg,0.9948923625394214,0.9505453116300396
OriginalImages\10066\20130107_101639.jpg,0.9987982727717124,0.96361969017129
OriginalImages\10066\20130107_122728.jpg,0.9995245779792556,0.9777617659581436
OriginalImages\10066\20130107_141629.jpg,0.999588054944016,0.9695542527756852
OriginalImages\10066\20130108_114635.jpg,0.999508371343512,0.958831428290702
OriginalImages\10066\20130108_115731.jpg,0.9997027087288772,0.9691743359643664
OriginalImages\10066\20130108_141633.jpg,0.9995953333013258,0.9546392427864931
OriginalImages\10066\20130108_145731.jpg,0.99633126554259,0.9552615203222744
OriginalImages\10066\20130108_152726.jpg,0.996920291097652,0.9520453280057642
OriginalImages\10066\20130109_064638.jpg,0.99913827925138,0.972141617266564
OriginalImages\10066\20130109_081633.jpg,0.9975150340440336,0.9202960731012348
OriginalImages\10066\20130109_115734.jpg,0.989005901340028,0.9934759113090754
OriginalImages\10066\20130109_122726.jpg,0.9883775411927012,0.9948711230471948
OriginalImages\10066\20130109_125727.jpg,0.987102891134374,0.995657157829234
OriginalImages\10066\20130110_081633.jpg,0.5191209150772335,0.9976615465234336
OriginalImages\10066\20130110_084639.jpg,0.5391095960722263,0.9976025939147808
OriginalImages\10066\20130110_111634.jpg,0.5219098255915533,0.997910457537746
OriginalImages\10066\20130110_124634.jpg,0.8901567185554535,0.9974781384076246
OriginalImages\10066\20130110_131630.jpg,0.8904545881910493,0.9925916221792814
OriginalImages\10066\20130111_065742.jpg,0.998237602019764,0.934955621786264
OriginalImages\10066\20130111_081636.jpg,0.9765620501007776,0.5553990764091311
OriginalImages\10066\20130111_115726.jpg,0.9987499738123006,0.9368093538139064
OriginalImages\10066\20130111_134632.jpg,0.9959551875569332,0.9596633151016932
OriginalImages\10066\20130111_151634.jpg,0.9955907031096074,0.959879474666754
OriginalImages\10066\20130112_085734.jpg,0.9988567427170938,0.9156715684669048
OriginalImages\10066\20130112_091630.jpg,0.9977082007060594,0.5646153342285396
OriginalImages\10066\20130112_112740.jpg,0.9947249434815372,0.9511020862673172
OriginalImages\10066\20130112_134634.jpg,0.9989430812211788,0.9719844103101564
