image_path,label_path,rmse_model,rmse_baseline,rmse_inverted,time_taken
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0001\overcast\E_0026_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0001\overcast\E_0026_L.mat,0.1757294885571983,0.187602596282559,0.19416135352296307,6.72777247428894
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0001\twilight\S_0056_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0001\twilight\S_0056_L.mat,0.18023189062396935,0.17745219892530523,0.19890548327080834,6.710578441619873
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0001\twilight\W_0007_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0001\twilight\W_0007_L.mat,0.13291357856844388,0.1360383248649726,0.14071550001533106,6.835473537445068
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0006\cloudy\W_0078_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0006\cloudy\W_0078_L.mat,0.14645167460723543,0.1451222652597412,0.14914566939560955,6.713892698287964
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0006\sunset\S_0024_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0006\sunset\S_0024_L.mat,0.22658899122190643,0.2252705104103975,0.22997233789987703,6.783456563949585
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0001\sunset\E_0094_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0001\sunset\E_0094_L.mat,0.14236395879349165,0.13717907988396572,0.14506935201269702,6.661991834640503
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0006\sunset\S_0006_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0006\sunset\S_0006_L.mat,0.13938172791750253,0.1339329541314675,0.15240291569627643,6.957166910171509
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0008\clear\S_0062_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0008\clear\S_0062_L.mat,0.31461830120650286,0.31531776409896634,0.31869589839871154,6.661080598831177
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0008\sunset\E_0040_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0008\sunset\E_0040_L.mat,0.2511408088533227,0.2508822905601633,0.258017246253431,6.755470037460327
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0006\sunset\S_0025_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0006\sunset\S_0025_L.mat,0.2182939164583897,0.2193670637962402,0.21980679012879073,6.731014251708984
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0008\cloudy\A_0067_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0008\cloudy\A_0067_L.mat,0.0955911320768205,0.09180834137597035,0.10115242029692988,6.879350423812866
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0005\overcast\W_0071_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0005\overcast\W_0071_L.mat,0.3160573002002172,0.31612534608232373,0.31630213324250167,6.745691537857056
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0001\sunset\S_0037_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0001\sunset\S_0037_L.mat,0.09777367642271313,0.09390657629378685,0.11042135629280825,6.692718744277954
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0003\cloudy\A_0032_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0003\cloudy\A_0032_L.mat,0.38901113323202524,0.33230911555794457,0.33468379692855865,6.752772808074951
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\RGB\0003\twilight\N_0046_L.png,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\EDEN\Depth\0003\twilight\N_0046_L.mat,0.13798465734975834,0.1430809022405523,0.14930562239892956,6.69982123374939
