filters,kernel_size,padding,learning_rate,loss_class,loss,optimizer,train_precision,train_recall,val_loss,val_precision,val_recall
32,3,same,0.001,binary_crossentropy,0.0741319060325622,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.967016339302063,0.9765843152999878,0.0967370569705963,0.9706652760505676,0.9604424834251404
32,3,same,0.001,binary_crossentropy,0.1226365268230438,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9481737017631532,0.9623903632164,0.1197598651051521,0.9528668522834778,0.95986670255661
32,3,same,0.001,mean_squared_error,0.0191688239574432,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9687209725379944,0.9784343242645264,0.0224215872585773,0.963903784751892,0.9751864671707152
32,3,same,0.001,mean_squared_error,0.0459581427276134,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9286093711853028,0.9511013627052308,0.0413117781281471,0.9515160322189332,0.9347736835479736
32,3,same,0.0001,binary_crossentropy,0.060231652110815,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9732820987701416,0.9813076257705688,0.1119004264473915,0.9510206580162048,0.9833922386169434
32,3,same,0.0001,binary_crossentropy,0.2397316694259643,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.8788660764694214,0.9400615096092224,0.1784372627735138,0.9327149987220764,0.9191089272499084
32,3,same,0.0001,mean_squared_error,0.0159513130784034,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9741499423980712,0.9821920990943908,0.0232820250093936,0.9593019485473632,0.977438509464264
32,3,same,0.0001,mean_squared_error,0.0883688628673553,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.8395270109176636,0.943322777748108,0.0583742037415504,0.9170831441879272,0.928067982196808
32,5,same,0.001,binary_crossentropy,0.0763691440224647,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9655614495277404,0.9766609072685242,0.0842803493142128,0.964670956134796,0.976315975189209
32,5,same,0.001,binary_crossentropy,0.0941180288791656,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9596831798553468,0.97350811958313,0.0945383831858635,0.9560607075691224,0.9774271249771118
32,5,same,0.001,mean_squared_error,0.0209493841975927,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9655314087867736,0.9766347408294678,0.0247466452419757,0.9537063837051392,0.9799181818962096
32,5,same,0.001,mean_squared_error,0.0342428609728813,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.949172019958496,0.9631755352020264,0.0292635709047317,0.9542540907859802,0.968091607093811
32,5,same,0.0001,binary_crossentropy,0.056348267942667,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9753270149230956,0.9827547669410706,0.0825529396533966,0.9620766043663024,0.9808437824249268
32,5,same,0.0001,binary_crossentropy,0.1925979852676391,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9108842611312866,0.9442589282989502,0.1378209441900253,0.9484490752220154,0.950561821460724
32,5,same,0.0001,mean_squared_error,0.0144862029701471,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9765931367874146,0.9836238026618958,0.0179832130670547,0.9667502641677856,0.9842678904533386
32,5,same,0.0001,mean_squared_error,0.0667677894234657,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.8972518444061279,0.9216645956039428,0.0464225895702838,0.933493196964264,0.9477131366729736
32,7,same,0.001,binary_crossentropy,0.0780956000089645,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9634440541267396,0.9765951633453368,0.0920951813459396,0.9662109017372132,0.9632251262664796
32,7,same,0.001,binary_crossentropy,0.0784672498703002,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.968711256980896,0.9769415855407716,0.1168800592422485,0.9790500402450562,0.9285594820976256
32,7,same,0.001,mean_squared_error,0.0205038543790578,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9652536511421204,0.9779109358787536,0.0322067029774189,0.9679262042045592,0.9418590664863586
32,7,same,0.001,mean_squared_error,0.0280088130384683,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9574977159500122,0.9715318083763124,0.0243700370192527,0.9577735662460328,0.9772144556045532
32,7,same,0.0001,binary_crossentropy,0.0559737607836723,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.97539484500885,0.9825067520141602,0.0970112830400466,0.9538416862487792,0.987671673297882
32,7,same,0.0001,binary_crossentropy,0.1634873747825622,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9260756969451904,0.9584354758262634,0.1136537343263626,0.9606714844703674,0.9580429196357728
32,7,same,0.0001,mean_squared_error,0.0149108339101076,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9759094715118408,0.9828650951385498,0.0226784292608499,0.9615268707275392,0.975387156009674
32,7,same,0.0001,mean_squared_error,0.0575939081609249,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9097460508346558,0.9348061084747314,0.0408312603831291,0.9438438415527344,0.9491353631019592
64,3,same,0.001,binary_crossentropy,0.0801613554358482,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,0.9636410474777222,0.9754499793052672,0.1040119901299476,0.9711073637008668,0.9554916620254515
64,3,same,0.001,binary_crossentropy,0.1016373336315155,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,0.9560394883155824,0.9703893661499025,0.1129916980862617,0.9570156335830688,0.9561618566513062
