,precision,recall,f1,filename,time_taken,spatial_radius,range_radius,min_density
0,0.6360330470632387,0.9960733006591063,0.7763409993480722,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.03270578384399414,0,2,150
1,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015992403030395508,0,2,250
2,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.018078088760375977,0,2,350
3,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016947507858276367,0,2,450
4,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.02135467529296875,0,4,150
5,0.6325415129151292,0.981192728536457,0.7692036483175712,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.0192105770111084,0,4,250
6,0.6369236612229396,0.9999148221401107,0.7781701321196348,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015422582626342773,0,4,350
7,0.6369035669056613,0.9998279407230237,0.7781288241478655,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.01603841781616211,0,4,450
8,0.6369035669056613,0.9998279407230237,0.7781288241478655,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.01617908477783203,0,6,150
9,0.6328544027669268,0.9825146889219379,0.7698410844512905,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016463756561279297,0,6,250
10,0.6325181053968031,0.9810939222189855,0.7691559783613988,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016232967376708984,0,6,350
11,0.6325181053968031,0.9810939222189855,0.7691559783613988,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015189886093139648,0,6,450
12,0.6325181053968031,0.9810939222189855,0.7691559783613988,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.014675140380859375,0,8,150
13,0.6327528526458592,0.9820853925080961,0.7696341544005003,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015770435333251953,0,8,250
14,0.6332077779994607,0.9840104121415929,0.7705615116116971,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.01611614227294922,0,8,350
15,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015736818313598633,0,8,450
16,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015455484390258789,0,10,150
17,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.01498103141784668,0,10,250
18,0.6326734271100587,0.9817497917401325,0.7694723391641864,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015965938568115234,0,10,350
19,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.02023911476135254,0,10,450
20,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.015173912048339844,0,12,150
21,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.017696619033813477,0,12,250
22,0.6329659625301526,0.9829865742657242,0.7700684629859471,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.01725625991821289,0,12,350
23,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016669750213623047,0,12,450
24,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016485929489135742,0,14,150
25,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.018053770065307617,0,14,250
26,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.017028331756591797,0,14,350
27,0.9898565704964639,0.9086859270843448,0.947536056304502,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.016524314880371094,0,14,450
28,0.9891774653267513,0.9175682743135942,0.952028202796418,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\684\20130611_204148.jpg,0.04098153114318848,1,2,150
